#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Mortierella alpina	64518	PRJNA284099	284099	Fungi	Other Fungi	36.3052	51.8	GCA_001021685.1	-	-	-	LDAW01	1962	-	-	2015/06/08	2015/06/08	Contig	Nanjing Tech University	SAMN03658567
Rotylenchulus reniformis	239373	PRJNA214681	214681	Animals	Roundworms	313.6	17.4	GCA_001026735.1	-	1	-	LDKF01	100526	-	-	2015/06/10	2015/06/12	Scaffold	Mississippi State University	SAMN03702720
Strongyloides venezuelensis	75913	PRJEB530	261603	Animals	Roundworms	52.179	25.1	GCA_001028725.1	-	-	-	-	587	-	-	-	-	Scaffold	SC	SAMD00012916
Fusarium fujikuroi	5127	PRJNA231623	231623	Fungi	Ascomycetes	43.1105	48.8	GCA_001023035.1	-	-	-	JRVG01	187	15054	14799	2015/06/09	2015/06/09	Scaffold	University of Milan	SAMN03075940
Fusarium fujikuroi	5127	PRJNA231623	231623	Fungi	Ascomycetes	43.0961	48.7	GCA_001023045.1	-	-	-	JRVF01	835	15077	14830	2015/06/09	2015/06/09	Scaffold	University of Milan	SAMN03075939
Fusarium fujikuroi	5127	PRJNA231623	231623	Fungi	Ascomycetes	43.4998	48.8	GCA_001023065.1	-	-	-	JRVH01	2959	15213	15182	2015/06/09	2015/06/09	Scaffold	University of Milan	SAMN03075941
Stachybotrys chartarum	74722	PRJNA283613	283613	Fungi	Ascomycetes	41.009	51.2	GCA_001021365.1	-	-	-	LDEE01	1434	-	-	2015/06/08	2015/10/13	Scaffold	US Environmental Protection Agency	SAMN03653474
Leishmania sp. AIIMS/LM/SS/PKDL/LD-974	1638716	PRJNA280137	280137	Protists	Kinetoplasts	27.8483	55.8	GCA_000981925.2	-	-	-	LBGS02	1100	-	-	2015/04/29	2015/07/30	Contig	All India Institute Of Medical Science	SAMN03457191
Tilletia horrida	155126	PRJNA280382	280382	Fungi	Basidiomycetes	20.1053	55.8	GCA_001006505.1	-	-	-	LAXH01	767	-	-	2015/05/14	2015/07/23	Scaffold	Sichuan Agricultural University	SAMN03460186
Selaginella kraussiana	81964	PRJNA284650	284650	Plants	Land Plants	114.503	-	GCA_001021135.1	-	-	-	LDJE01	105914	-	-	2015/06/05	2016/03/03	Scaffold	Shanghai Institutes for Biological Sciences	SAMN03704959
Schizopora paradoxa	27342	PRJNA239088	239088	Fungi	Basidiomycetes	44.4062	49.4	GCA_001020605.1	-	-	-	LBNM01	1291	17171	17089	2015/06/05	2015/06/05	Scaffold	DOE Joint Genome Institute	SAMN02744842
Cryptococcus curvatus	57679	PRJNA281029	281029	Fungi	Basidiomycetes	16.4436	59.4	GCA_001028165.1	-	-	-	LDEP01	354	-	-	2015/06/15	2015/06/15	Contig	Ernst-Moritz-Arndt University	SAMN03481599
Trichosporon oleaginosus	879819	PRJNA239490	239490	Fungi	Basidiomycetes	19.8356	60.7	GCA_001027345.1	-	-	-	JZUH01	180	8602	8320	2015/06/11	2015/06/24	Scaffold	DOE Joint Genome Institute	SAMN02744832
Saccharomyces cerevisiae	4932	PRJNA284829	284829	Fungi	Ascomycetes	12.1509	38.5859	GCA_001029075.1	16	1	-	-	17	-	-	2015/06/17	2015/08/05	Chromosome	OSMANIA UNIVERSITY	SAMN03733457
Torulaspora delbrueckii	4950	PRJNA278774	278774	Fungi	Ascomycetes	11.525	41.5634	GCA_001029055.1	8	-	-	-	8	-	-	2015/06/17	2015/07/30	Chromosome	CIATEJ-IBT UNAM	SAMN03431275
Pythium insidiosum	114742	PRJDB3817	283594	Protists	Other Protists	53.239	57	GCA_001029375.1	-	-	-	BBXB01	1192	10	10	2015/05/08	2015/11/20	Scaffold	King Mongkut's University of Technology Thonburi	SAMD00028776
Saccharomyces cerevisiae	4932	PRJNA284803	284803	Fungi	Ascomycetes	11.538	38.1	GCA_001029995.1	-	-	-	LDOE01	568	-	-	2015/06/19	2015/07/30	Contig	University of Arizona	SAMN03733270
Azadirachta indica	124943	PRJNA176672	176672	Plants	Land Plants	261.458	43.2	GCA_000439995.3	-	-	-	AMWY02	607	-	-	2013/07/25	2015/06/16	Contig	Centre for Cellular and Molecular Plateforms	SAMN02715695
Aspergillus fumigatus Z5	1437362	PRJNA231983	231983	Fungi	Ascomycetes	29.3561	49.2	GCA_001029325.1	-	-	-	AZZA01	24	9540	9540	2015/06/17	2015/06/23	Scaffold	College of Resources & Environmental Science, Nanjing Agricultural University, Nanjing, China	SAMN02570146
Lingula anatina	7574	PRJNA286275	286275	Animals	Other Animals	425.495	37	GCA_001039355.1	-	-	-	LFEI01	3830	32257	43670	2015/06/24	2015/09/21	Scaffold	Okinawa Institute of Science and Technology Graduate University (OIST)	SAMN03770811
Ovis canadensis canadensis	112262	PRJNA272435	272435	Animals	Mammals	2590.55	41.4253	GCA_001039535.1	27	-	-	-	27	-	-	2015/06/25	2015/06/25	Chromosome	University of Alberta	SAMN03282167
Nakaseomyces delphensis CBS 2170	1279113	PRJEB150	202299	Fungi	Ascomycetes	10.8677	38.9	GCA_001039675.1	-	-	-	CAPT01	179	-	-	2013/08/28	2015/01/30	Contig	LabRI	SAMEA3146334
Romanomermis culicivorax	13658	PRJEB1358	232758	Animals	Roundworms	322.766	-	GCA_001039655.1	-	-	-	CAQS01	62537	-	-	2014/01/06	2015/01/30	Scaffold	UZK	SAMEA3146285
Strongyloides ratti	34506	PRJEB125	253684	Animals	Roundworms	43.1502	21.5777	GCA_001040885.1	3	-	-	-	135	12451	12450	2014/09/18	2015/11/19	Chromosome	EBI	SAMEA1682816
Pyronema omphalodes CBS 100304	1076935	PRJNA65573	65573	Fungi	Ascomycetes	50.0261	47.8	GCA_000981605.1	-	-	-	CATG01	1588	13971	13367	2013/09/23	2015/01/30	Scaffold	Department of General and Molecular Botany, Ruhr-University Bochum	SAMEA3146335
Epichloe uncinata	5050	PRJNA275109	275109	Fungi	Ascomycetes	53.3441	-	GCA_001043855.1	-	-	-	LELE01	23102	-	-	2015/06/30	2015/06/30	Scaffold	University of Kentucky	SAMN03653338
Aspergillus sp. Z5	1662659	PRJNA285783	285783	Fungi	Ascomycetes	33.8104	50.5	GCA_001044295.1	-	-	-	LDZW01	956	-	-	2015/07/01	2015/07/01	Contig	Zhejiang University	SAMN03759630
Lasius niger	67767	PRJNA269328	269328	Animals	Insects	236.236	37.1	GCA_001045655.1	-	-	-	LBMM01	36804	18247	18247	2015/07/02	2015/07/02	Scaffold	Lomonosov Moscow State University	SAMN03253098
Raphanus sativus	3726	PRJDB707	286281	Plants	Land Plants	383.105	39.6	GCA_001047155.1	-	-	-	BAOO01	40123	-	-	2015/06/09	2015/07/01	Scaffold	Tokyo University of Agriculture	SAMD00011068
Candida castellii CBS 4332	1279086	PRJEB147	202297	Fungi	Ascomycetes	10.2014	40.9	GCA_001046935.1	-	-	-	CAPW01	101	-	-	2013/08/28	2015/01/30	Contig	LabRI	SAMEA3146276
Nakaseomyces bacillisporus CBS 7720	1279116	PRJEB149	202300	Fungi	Ascomycetes	10.8399	36.6	GCA_001046975.1	-	-	-	CAPX01	186	-	-	2013/08/28	2015/01/30	Contig	LabRI	SAMEA3146303
Candida nivariensis CBS 9983	1279115	PRJEB148	202298	Fungi	Ascomycetes	11.5574	36.9	GCA_001046915.1	-	-	-	CAPV01	123	-	-	2013/08/28	2015/01/30	Contig	LabRI	SAMEA3146320
Penicillium brasilianum	104259	PRJEB7514	284459	Fungi	Ascomycetes	35.8886	49.5	GCA_001048715.1	-	-	-	CDHK01	87	11432	11943	2015/05/20	2015/05/20	Scaffold	HKI JENA	SAMEA2820536
Plasmodiophora brassicae	37360	PRJEB8376	286749	Protists	Other Protists	24.0508	59.2	GCA_001049375.1	-	-	-	CDSF01	165	9727	9727	2015/06/11	2015/06/11	Scaffold	SLU	SAMEA3232990
Candida auris	498019	PRJEB9463	285190	Fungi	Ascomycetes	12.3083	45.1	GCA_001049995.1	-	-	-	CVRJ01	533	-	-	2015/05/27	2015/05/27	Scaffold	Vallabhbhai Patel Chest Institute	SAMEA3428689
Trichoderma parareesei	858221	PRJNA287603	287603	Fungi	Ascomycetes	32.0707	53.7	GCA_001050175.1	-	-	-	LFMI01	885	-	-	2015/07/08	2015/09/02	Scaffold	Vienna University of Technology	SAMN03784587
Hordeum vulgare subsp. vulgare	112509	PRJNA30763	30763	Plants	Land Plants	1645.58	-	GCA_001077415.1	-	-	-	CBLZ01	2280908	-	-	2014/01/02	2015/02/01	Scaffold	International Barley Genome Sequencing Consortium (IBSC)	SAMEA3146287
Triticum aestivum	4565	PRJEB4376	254001	Plants	Land Plants	58.5022	46.7	GCA_001077335.1	-	-	-	CBUC01	1450	396	250	2014/07/28	2015/01/30	Scaffold	INRA	SAMEA3146289
Saccharomyces cerevisiae	4932	PRJNA282006	282006	Fungi	Ascomycetes	12.0863	38.1473	GCA_001051215.1	16	1	-	-	17	-	-	2015/07/09	2015/08/11	Complete Genome	NIEHS	SAMN03565668
Glossina morsitans morsitans	37546	PRJEA59499	59499	Animals	Insects	363.107	-	GCA_001077435.1	-	-	-	CCAG01	-	-	-	2014/03/12	2015/01/30	Contig	International Glossina Genomics Initiative	SAMEA3146294
Yarrowia lipolytica	4952	PRJNA267549	267549	Fungi	Ascomycetes	0.011236	47.5	GCA_001069125.1	-	-	-	JWFM01	16	-	-	2015/07/10	2015/07/10	Contig	University of Washington	SAMN03196996
Dirofilaria immitis	6287	PRJEB1797	208635	Animals	Roundworms	84.8881	-	GCA_001077395.1	-	-	-	CAWD01	-	-	-	2013/08/20	2015/01/30	Contig	EDINBURGH	SAMEA3146305
Naumovozyma dairenensis	27289	PRJNA267549	267549	Fungi	Ascomycetes	13.9858	33.4	GCA_001074275.1	-	-	-	JUTY01	4670	-	-	2015/07/10	2015/07/10	Contig	University of Washington	SAMN03197972
Macrophomina phaseolina	35725	PRJNA271369	271369	Fungi	Ascomycetes	98.6958	54.7	GCA_001051165.1	-	-	-	LFIX01	3061	-	-	2015/07/09	2015/07/09	Contig	Junagadh Agricultural University, Junagadh	SAMN03274156
Megaselia scalaris	36166	PRJEB1273	188946	Animals	Insects	489.348	39.2	GCA_000341915.2	-	-	-	CAQQ02	231041	-	-	2013/02/07	2015/01/30	Scaffold	EBI	SAMEA2272308
Candida bracarensis CBS 10154	1279114	PRJEB145	202296	Fungi	Ascomycetes	12.2295	36.1	GCA_001077315.1	-	-	-	CAPU01	251	-	-	2013/08/28	2015/01/30	Contig	LabRI	SAMEA3146302
Onchocerca ochengi	42157	PRJEB1809	208801	Animals	Roundworms	95.361	-	GCA_001077375.1	-	-	-	CAWC01	27204	-	-	2013/08/20	2015/01/30	Scaffold	EDINBURGH	SAMEA3146265
Esox lucius	8010	PRJNA221548	221548	Animals	Fishes	904.453	42.1896	GCA_000721915.2	25	1	-	AZJR02	1709	26012	43433	2014/06/26	2015/06/09	Chromosome	University of Victoria	SAMN02439989
Tolypocladium sp. Sup5 PDA-1	1501327	PRJNA254396	254396	Fungi	Ascomycetes	37.875	56	GCA_000750105.3	-	-	-	JPHH03	464	-	-	2014/09/08	2015/07/09	Scaffold	INPART	SAMN02903338
Babesia divergens	32595	PRJEB6536	259731	Protists	Apicomplexans	10.7976	45.3	GCA_001077455.1	-	-	-	CCSG01	514	-	-	2014/09/06	2014/09/06	Scaffold	Spanish National Center for Microbiology	SAMEA2612614
Aspergillus nomius	41061	PRJEB5179	237179	Fungi	Ascomycetes	35.2805	49.2	GCA_000531055.1	-	-	-	CBWY01	4209	-	-	2014/02/02	2015/06/04	Contig	SVSB	SAMEA3138898
Chrysoporthe austroafricana	354353	PRJNA263707	263707	Fungi	Ascomycetes	44.6689	-	GCA_001051155.1	-	-	-	JYIP01	-	-	-	2015/07/09	2015/07/09	Contig	Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria	SAMN03105788
Primula vulgaris	175104	PRJEB7311	261506	Plants	Land Plants	1.50478	35.6	GCA_001077355.1	-	-	-	CDJJ02	229	-	-	2015/01/28	2015/01/28	Scaffold	TGAC	SAMEA2802728
Saccharomyces cerevisiae	4932	PRJNA270468	270468	Fungi	Ascomycetes	11.3569	38.1	GCA_001078085.1	-	-	-	LBNP01	361	-	-	2015/07/15	2015/07/15	Scaffold	NEMO for biothenol	SAMN03576367
Saccharomyces cerevisiae	4932	PRJNA270468	270468	Fungi	Ascomycetes	11.4923	38.1	GCA_001078105.1	-	-	-	JWJK01	218	-	-	2015/07/15	2015/07/15	Scaffold	NEMO for biothenol	SAMN03266447
Encephalitozoon cuniculi EcunIII-L	1355160	PRJNA210874	210874	Fungi	Other Fungi	2.29237	46.9	GCA_001078035.1	-	-	-	LFTZ01	15	1896	1834	2015/07/15	2015/07/15	Contig	University of Ottawa	SAMN02230182
Lates calcarifer	8187	PRJNA280691	280691	Animals	Fishes	589.095	-	GCA_001010145.1	-	-	-	LBLR01	22775	-	-	2015/05/18	2015/08/24	Scaffold	James Cook University	SAMN03466679
Albugo candida	65357	PRJEB32	179049	Protists	Other Protists	34.4526	43.2	GCA_001078535.1	-	-	-	CAIX01	5216	13490	13310	2014/05/15	2015/01/30	Scaffold	TSL	SAMEA3146300
Neosartorya udagawae	91492	PRJDB3949	288122	Fungi	Ascomycetes	32.1856	49.6	GCA_001078395.1	-	-	-	BBXM01	1029	10195	9999	2015/06/24	2015/10/06	Contig	Medical Mycology Research Center	SAMD00031778
Plasmodium vivax India VII	1077284	PRJNA65119	65119	Protists	Apicomplexans	29.2515	41.5	GCA_000320625.2	-	-	-	AFBK01	568	6631	6616	2012/07/25	2015/07/22	Scaffold	Broad Institute	SAMN00710644
Plasmodium vivax Brazil I	1033975	PRJNA67065	67065	Protists	Apicomplexans	28.8987	40.4723	GCA_000320645.2	-	1	-	AFMK01	261	6541	6464	2012/07/25	2015/07/22	Scaffold	Broad Institute	SAMN00710434
Plasmodium vivax Mauritania I	1035515	PRJNA67237	67237	Protists	Apicomplexans	28.4638	40.5718	GCA_000320665.2	-	1	-	AFNI01	206	6442	6381	2012/07/25	2015/07/22	Scaffold	Broad Institute	SAMN00710347
Plasmodium vivax North Korean	1035514	PRJNA67239	67239	Protists	Apicomplexans	29.679	40.3732	GCA_000320685.2	-	1	-	AFNJ01	542	6782	6695	2012/07/25	2015/07/22	Scaffold	Broad Institute	SAMN00710542
Zostera marina	29655	PRJNA41721	41721	Plants	Land Plants	203.914	38.9	GCA_001185155.1	-	-	-	LFYR01	2228	20855	20648	2015/07/22	2016/02/16	Scaffold	JGI	SAMN00991190
Vitrella brassicaformis CCMP3155	1169540	PRJNA300221	300221	Protists	Other Protists	72.7007	57.9	GCA_001179505.1	-	-	-	CDMY01	1064	35145	23034	2015/06/17	2015/06/17	Scaffold	NCBI	SAMEA2627691
Baeospora myosura	139080	PRJEB8570	287237	Fungi	Basidiomycetes	61.019	-	GCA_001179705.1	-	-	-	CEMG01	182489	-	-	2015/06/17	2015/06/17	Scaffold	Royal Botanic Gardens, Kew	SAMEA3267761
Macrocystidia cucumis	182055	PRJEB8570	287237	Fungi	Basidiomycetes	46.7469	-	GCA_001179725.1	-	-	-	CEMH01	204508	-	-	2015/06/17	2015/06/17	Scaffold	Royal Botanic Gardens, Kew	SAMEA3267765
Clavaria fumosa	264083	PRJEB8570	287237	Fungi	Basidiomycetes	70.4695	-	GCA_001179745.1	-	-	-	CVRD01	111201	-	-	2015/06/17	2015/06/17	Scaffold	Royal Botanic Gardens, Kew	SAMEA3267766
Crepidotus sp. BD-2015	1617101	PRJEB8570	287237	Fungi	Basidiomycetes	70.2573	-	GCA_001179765.1	-	-	-	CVRE01	182032	-	-	2015/06/17	2015/06/17	Scaffold	Royal Botanic Gardens, Kew	SAMEA3267772
Oropetium thomaeum	1148796	PRJNA286116	286116	Plants	Land Plants	243.175	45.3	GCA_001182835.1	-	-	-	LFJQ01	625	-	-	2015/07/20	2015/11/20	Contig	Donald Danforth Plant Science Center	SAMN03765142
Balamuthia mandrillaris	66527	PRJNA286069	286069	Protists	Other Protists	67.6565	46.7932	GCA_001185145.1	-	1	-	LFUI01	1605	-	-	2015/07/22	2015/10/01	Scaffold	Robert Koch Institute	SAMN03764508
Amyelois transitella	680683	PRJNA254820	254820	Animals	Insects	406.468	37.6	GCA_001186105.1	-	-	-	LACK01	7301	15065	18472	2015/07/21	2015/07/22	Scaffold	University of Illinois at Urbana-Champaign	SAMN03009087
Spinacia oleracea	3562	PRJNA41497	41497	Plants	Land Plants	493.772	38	GCA_000510995.2	-	-	-	AYZV02	103502	21539	23522	2013/12/16	2015/07/22	Scaffold	Beta vulgaris resource	SAMN02182572
Diuraphis noxia	143948	PRJNA233413	233413	Animals	Insects	395.074	34.2992	GCA_001186385.1	-	1	-	JOTR01	5637	13084	17476	2015/07/23	2015/09/03	Scaffold	USDA-ARS, Stillwater, Oklahoma	SAMN02693874
uncultured Bathycoccus	528323	PRJNA68167	68167	Plants	Green Algae	5.18308	48.2	GCA_000259855.1	-	-	-	AFUW01	185	-	-	2011/10/31	2014/08/11	Contig	Monterey Bay Aquarium Research Institue	SAMN02981353
Plasmodium falciparum RAJ116	580058	PRJNA33065	33065	Protists	Apicomplexans	14.1493	26	GCA_000186025.2	-	-	-	ACBR01	1203	3250	3210	2009/04/03	2015/07/28	Scaffold	Broad Institute	SAMN02953739
Lucilia cuprina	7375	PRJNA248412	248412	Animals	Insects	434.129	32.8	GCA_001187945.1	-	-	-	JRES01	1713	14452	14452	2015/07/28	2015/07/28	Scaffold	University of Melbourne	SAMN02798242
Plasmodium falciparum IGH-CR14	580059	PRJNA33119	33119	Protists	Apicomplexans	21.7788	21.3	GCA_000186055.2	-	-	-	ACBS01	853	5125	5073	2009/04/03	2015/08/04	Scaffold	Broad Institute	SAMN02953740
Spizellomyces punctatus DAOM BR117	645134	PRJNA37881	37881	Fungi	Other Fungi	24.1311	47.6	GCA_000182565.2	-	-	-	ACOE01	38	9162	9422	2009/09/03	2015/07/29	Scaffold	Broad Institute	SAMN00716787
Eucidaris tribuloides	7632	PRJNA63057	63057	Animals	Other Animals	2187.26	-	GCA_001188425.1	-	-	-	JZLH01	637071	-	-	2015/04/14	2015/04/20	Scaffold	Human Genome Sequencing Center at Baylor College of Medicine	SAMN00717266
Sphaeroforma arctica JP610	667725	PRJNA20463	20463	Protists	Other Protists	121.631	43.2	GCA_001186125.1	-	-	-	AEOD01	15619	18525	18730	2011/08/19	2015/07/29	Scaffold	Broad Institute	SAMN02953786
Tolypocladium ophioglossoides CBS 100239	1163406	PRJNA91059	91059	Fungi	Ascomycetes	31.2458	57	GCA_001189435.1	-	-	-	LFRF01	172	9158	9317	2015/07/30	2015/08/06	Scaffold	Oregon State University	SAMN03782320
Loxosceles reclusa	6921	PRJNA167404	167404	Animals	Other Animals	3262.48	-	GCA_001188405.1	-	-	-	JJRW01	143665	-	-	2015/04/27	2015/05/13	Scaffold	The i5k Initiative	SAMN02641903
Candida auris	498019	PRJNA267757	267757	Fungi	Ascomycetes	12.4988	45.1	GCA_001189475.1	-	-	-	LGST01	99	7988	7461	2015/07/30	2015/09/09	Scaffold	Indian Institute of Science (IISc)	SAMN03200169
Macrostomum lignano	282301	PRJNA284736	284736	Animals	Flatworms	1040.12	-	GCA_001188465.1	-	-	-	LFJF01	-	-	-	2015/07/29	2015/07/29	Contig	Cold Spring Harbor Laboratory	SAMN03776880
Puccinia striiformis f. sp. tritici PST-78	1165861	PRJNA41279	41279	Fungi	Basidiomycetes	117.391	36.3	GCA_001191645.1	-	-	-	AJIL01	9716	48	20	2015/07/31	2015/08/03	Scaffold	Broad Institute	SAMN03897338
Drosophila americana	40366	PRJEB9848	289563	Animals	Insects	166.08	-	GCA_001245305.1	-	-	-	CWKC01	34687	-	-	2015/07/10	2015/09/30	Scaffold	IBMC	SAMEA3481914
Drosophila americana	40366	PRJEB9848	289563	Animals	Insects	163.287	-	GCA_001245395.1	-	-	-	CWKB01	24251	-	-	2015/07/10	2015/09/30	Scaffold	IBMC	SAMEA3481913
Vigna angularis	3914	PRJNA261643	261643	Plants	Land Plants	466.744	34.6138	GCA_001190045.1	11	-	-	JZJH01	37725	34180	34172	2015/07/30	2015/08/21	Chromosome	Beijing University of Agriculture	SAMN03074979
Edhazardia aedis USNM 41457	1003232	PRJNA65125	65125	Fungi	Other Fungi	51.348	22.8	GCA_000230595.3	-	-	-	AFBI03	1429	4256	4190	2011/10/14	2015/08/05	Scaffold	Broad Institute	SAMN02981318
Rhodotorula toruloides	5286	PRJEB9845	289477	Fungi	Basidiomycetes	20.8105	61.7	GCA_001255795.1	-	-	-	CWKI01	30	-	-	2015/07/14	2015/07/14	Contig	UCB	SAMEA3481609
Cyberlindnera jadinii	4903	PRJEB7977	289560	Fungi	Ascomycetes	12.7073	44.5	GCA_001245095.1	-	-	-	CDQK01	7	5566	5057	2015/07/10	2015/07/10	Scaffold	JUSTUS LIEBIG UNIVERSITAT	SAMEA3174301
Sporisorium scitamineum	49012	PRJEB5169	284453	Fungi	Basidiomycetes	19.8938	54.8	GCA_001243155.1	-	-	-	CCFA01	449	7711	7711	2015/05/20	2015/05/20	Scaffold	CSIRO	SAMEA2591050
Coccomyxa sp. SUA001	1667192	PRJNA285941	285941	Plants	Green Algae	11.7544	-	GCA_001244535.1	-	-	-	LHAR01	-	-	-	2015/08/05	2015/08/05	Contig	SaurashtraUniversity	SAMN03761152
Aspergillus nomius NRRL 13137	1509407	PRJNA246595	246595	Fungi	Ascomycetes	36.1388	48.9	GCA_001204775.1	-	-	-	JNOM01	1118	11914	11914	2015/08/04	2015/08/04	Contig	USDA-ARS-SRRC	SAMN02768702
Aspergillus sclerotiorum	138282	PRJEB5180	237181	Fungi	Ascomycetes	32.8415	-	GCA_000530345.1	-	-	-	CBWZ01	-	-	-	2014/02/02	2015/07/14	Contig	SVSB	SAMEA3138882
Stemphylium lycopersici	183478	PRJNA274742	274742	Fungi	Ascomycetes	35.1733	50.7	GCA_001191545.1	-	-	-	LGLR01	414	9102	8997	2015/08/03	2015/10/01	Scaffold	CIDEFI	SAMN03332054
Perkinsela sp. CCAP 1560/4	1314962	PRJNA194468	194468	Protists	Kinetoplasts	9.4778	47	GCA_001235845.1	-	-	-	LFNC01	693	5252	5252	2015/08/05	2015/12/09	Scaffold	Dalhousie University	SAMN03490754
Solanum commersonii	4109	PRJNA269007	269007	Plants	Land Plants	729.603	-	GCA_001239805.1	-	-	-	JXZD01	63664	-	-	2015/04/21	2015/07/29	Scaffold	Universita di Verona	SAMN03247563
Ciborinia camelliae	647257	PRJNA289037	289037	Fungi	Ascomycetes	40.7322	42.5	GCA_001247705.1	-	-	-	LGKQ01	2604	-	-	2015/08/05	2015/08/05	Scaffold	Massey University	SAMN03840770
Cymbomonas tetramitiformis	36881	PRJNA286761	286761	Plants	Green Algae	281.27	-	GCA_001247695.1	-	-	-	LGRX01	40243	-	-	2015/08/05	2015/08/05	Scaffold	American Museum of Natural History	SAMN03799721
Cryptococcus gattii R265	294750	PRJNA13691	13691	Fungi	Basidiomycetes	17.4758	47.8	GCA_000149475.3	-	-	-	AAFP02	28	6637	6472	2005/03/17	2015/08/05	Scaffold	Broad Institute	SAMN02953610
Apteryx australis mantelli	202946	PRJEB6383	287231	Animals	Birds	0.016674	42.9	GCA_001039785.2	-	-	-	-	1	-	-	-	-	Scaffold	MPI-EVA	SAMEA2560516
Balamuthia mandrillaris	66527	PRJNA286157	286157	Protists	Other Protists	44.2709	-	GCA_001262475.1	-	-	-	LEOU01	14699	-	-	2015/08/05	2015/12/02	Scaffold	UCSF	SAMN03765664
Fusarium nygamai	42673	PRJNA281294	281294	Fungi	Ascomycetes	51.615	47.5	GCA_001262555.1	-	-	-	LBNR01	409	-	-	2015/08/06	2015/08/06	Scaffold	University of Pretoria	SAMN03486947
Eulemur macaco	30602	PRJNA284191	284191	Animals	Mammals	2119.88	38.3	GCA_001262655.1	-	-	-	LGHX01	26772	-	-	2015/08/06	2015/09/02	Scaffold	University of Chicago	SAMN03699689
Eulemur flavifrons	87288	PRJNA284191	284191	Animals	Mammals	2115.57	40.5	GCA_001262665.1	-	-	-	LGHW01	38367	-	-	2015/08/06	2015/09/02	Scaffold	University of Chicago	SAMN03699688
Puccinia sorghi	27349	PRJNA277993	277993	Fungi	Basidiomycetes	99.5341	44.8	GCA_001263375.1	-	-	-	LAVV01	15715	21687	21078	2015/08/07	2015/08/19	Scaffold	BIA - FCEN - UBA	SAMN03401052
Onchocerca volvulus	6282	PRJEB513	226660	Animals	Roundworms	96.3406	29.8	GCA_000499405.2	-	-	-	CBVM02	674	-	-	2013/11/05	2015/01/30	Scaffold	SC	SAMEA3138812
Phalaenopsis equestris	78828	PRJNA192198	192198	Plants	Land Plants	1064.05	-	GCA_001263595.1	-	-	-	APLD01	89583	-	-	2015/08/07	2015/08/11	Scaffold	BGI-SZ	SAMN02046388
Termitomyces sp. J132	1306850	PRJNA193471	193471	Fungi	Basidiomycetes	67.2968	46.3	GCA_001263195.1	-	-	-	JDCH01	2335	11393	11143	2015/08/07	2015/08/10	Scaffold	BGI	SAMN03959805
Neodiprion lecontei	441921	PRJNA280451	280451	Animals	Insects	239.677	39.7	GCA_001263575.1	-	-	-	LGIB01	4523	11915	15991	2015/08/10	2015/08/10	Scaffold	University of Kentucky	SAMN03462046
Plasmodium falciparum HB3	137071	PRJNA16340	16340	Protists	Apicomplexans	24.294	20.8933	GCA_000149665.2	-	2	-	AANS01	1191	5696	5462	2006/03/27	2015/08/11	Scaffold	Broad Institute	SAMN02953642
Malassezia globosa	76773	PRJNA286710	286710	Fungi	Basidiomycetes	8.88425	52.1	GCA_001264795.1	-	-	-	LFGE01	108	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774895
Malassezia globosa	76773	PRJNA286710	286710	Fungi	Basidiomycetes	8.94037	52	GCA_001264805.1	-	-	-	LFGF01	113	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774896
Malassezia globosa	76773	PRJNA286710	286710	Fungi	Basidiomycetes	8.93859	51.9	GCA_001264815.1	-	-	-	LFDC01	138	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774897
Malassezia restricta	76775	PRJNA286710	286710	Fungi	Basidiomycetes	7.26022	55.8	GCA_001264725.1	-	-	-	LFCZ01	69	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774878
Malassezia restricta	76775	PRJNA286710	286710	Fungi	Basidiomycetes	7.24985	55.8	GCA_001264765.1	-	-	-	LFDA01	90	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774880
Thamnophis sirtalis	35019	PRJNA189551	189551	Animals	Reptiles	1424.9	42.3	GCA_001077635.2	-	-	-	LFLD01	7930	11	-	2015/06/26	2015/06/30	Scaffold	The Genome Institute at Washington University School of Medicine (WUGSC)	SAMN03759628
Malassezia sympodialis	76777	PRJNA286710	286710	Fungi	Basidiomycetes	7.52611	58.8	GCA_001264705.1	-	-	-	LFGA01	1030	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774874
Malassezia sympodialis	76777	PRJNA286710	286710	Fungi	Basidiomycetes	7.56228	58.9	GCA_001264715.1	-	-	-	LFCY01	769	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774875
Malassezia sympodialis	76777	PRJNA286710	286710	Fungi	Basidiomycetes	7.5469	58.8	GCA_001264925.1	-	-	-	LFFZ01	824	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774872
